sentence,university,originalTotal,originalDegreesLength,total,degreesLength,degrees,positions,mbas
"项有志先生于1987年7月至1991年9月,任华东冶金学院(现安徽工业大学)经济管理系助教",华东冶金学院,0,0,0,0,[],[],[]
"项有志先生于1987年7月至1991年9月,任华东冶金学院(现安徽工业大学)经济管理系助教",安徽工业大学,0,0,0,0,[],[],[]
"1994年8月至1995年8月,任华东冶金学院(现安徽工业大学)经济管理系讲师",华东冶金学院,1,0,1,0,[],"[""讲师""]",[]
"1994年8月至1995年8月,任华东冶金学院(现安徽工业大学)经济管理系讲师",安徽工业大学,1,0,1,0,[],"[""讲师""]",[]
"陈金海先生,1979年出生,本科,毕业于杭州电子科技大学审计学专业,注册会计师",杭州电子科技大学,1,1,0,0,[],[],[]
"1993年获中南财经大学(现中南财经政法大学)经济学硕士学位,2003年获中南财经政法大学经济学博士学位",中南财经政法大学,2,2,1,1,"[""硕士""]",[],[]
"1993年获中南财经大学(现中南财经政法大学)经济学硕士学位,2003年获中南财经政法大学经济学博士学位",中南财经大学,2,2,1,1,"[""硕士""]",[],[]
"1993年获中南财经大学(现中南财经政法大学)经济学硕士学位,2003年获中南财经政法大学经济学博士学位",中南财经政法大学,2,2,1,1,"[""博士""]",[],[]
"历任北京大学光华管理学院金融系博士后研究员、中国人民大学商学院讲师、副教授,丹化化工科技股份有限公司独立董事",北京大学,6,2,5,1,"[""博士后""]","[""教授"",""研究员"",""讲师""]","[""管理学""]"
"历任北京大学光华管理学院金融系博士后研究员、中国人民大学商学院讲师、副教授,丹化化工科技股份有限公司独立董事",中国人民大学,6,2,5,1,"[""博士后""]","[""教授"",""研究员"",""讲师""]","[""管理学""]"
"曾任中山大学讲师、教授,兼任中山大学新经济研究中心主任,美国乔治华盛顿大学教授助理,国务院侨办海外专家咨询委员会委员,广东省政协委员,广东经济学会副会长,广东省粤港澳合作促进会金融专业委员会常务副主任,广州风险投资促进会会长,广东省与广州市社科院客座研究员,美国世界银行顾问,广州证券有限责任公司副总裁、首席经济学家、监事长,广州广证恒生证券研究院有限公司董事长、总经理,广州广证恒生证券投资咨询有限公司首席经济学家,广东广州日报传媒股份有限公司、威创集团股份有限公司、广州机电集团及广州广日集团独立董事、深圳市天地(集团)股份有限公司独立董事",中山大学,3,0,2,0,[],"[""教授"",""讲师""]",[]
