_id,code,actualController,actualControllerType
5f4adead2018c1179b9dd3fc,600173,"陈建成,陈嫣妮",个人
5f4adead2018c1179b9dd3fe,600177,李如成,个人
5f4adead2018c1179b9dd3ff,600178,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd401,600180,万永兴,个人
5f4adead2018c1179b9dd417,600206,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd41b,600210,沈雯,个人
5f4adead2018c1179b9dd422,600218,全椒县人民政府,地方政府
5f4adead2018c1179b9dd423,600219,南山村村民委员会,其他
5f4adead2018c1179b9dd427,600223,山东省人民政府国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd432,600235,嘉兴市国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd466,600299,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd46d,600307,甘肃省人民政府国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd479,600320,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd47a,600321,富彦斌,个人
5f4adead2018c1179b9dd47f,600327,王均金,个人
5f4adead2018c1179b9dd487,600336,青岛市人民政府国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd48b,600340,王文学,个人
5f4adead2018c1179b9dd4a7,600376,北京市人民政府国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd4ae,600383,FALSE,
5f4adead2018c1179b9dd4af,600385,黄宇、黄俊钦,个人
5f4adead2018c1179b9dd4b0,600386,北京市国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd4b4,600390,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd4c4,600415,义乌市国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd4cd,600426,山东省国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd4d1,600435,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd4d9,600452,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd508,600513,扬州市人民政府国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd50c,600518,马兴田,个人
5f4adead2018c1179b9dd525,600548,深圳市人民政府国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd530,600561,南昌市国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd552,600598,中华人民共和国农业农村部,中央国家机关
5f4adead2018c1179b9dd55e,600611,职工持股会,职工持股会(工会)
5f4adead2018c1179b9dd569,600623,上海市国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd581,600652,周五云,个人
5f4adead2018c1179b9dd583,600654,涂国身,个人
5f4adead2018c1179b9dd5af,600706,西安曲江新区管理委员会,地方政府
5f4adead2018c1179b9dd5b4,600712,南宁市人民政府国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd5c6,600730,中华人民共和国教育部,中央国家机关
5f4adead2018c1179b9dd5cb,600735,张建华,个人
5f4adead2018c1179b9dd5d9,600750,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd5ec,600771,郭家学,个人
5f4adead2018c1179b9dd61e,600827,上海市国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd628,600838,上海市静安区国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd62b,600843,FALSE,
5f4adead2018c1179b9dd3cd,600118,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd3d7,600129,重庆市涪陵区国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd40b,600191,肖卫华,个人
5f4adead2018c1179b9dd410,600197,新疆生产建设兵团第四师国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd42c,600229,青岛市财政局,地方政府
5f4adead2018c1179b9dd42e,600231,朝阳市国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd433,600236,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd436,600239,云南省人民政府国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd43c,600248,陕西省人民政府国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd469,600302,西安市人民政府国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd475,600316,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd47b,600322,天津市人民政府国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd481,600329,天津市人民政府国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd491,600351,任武贤,个人
5f4adead2018c1179b9dd496,600356,牡丹江市国有资产监督管理办公室,地方国资委
5f4adead2018c1179b9dd49f,600367,青岛市人民政府国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd4ca,600422,汪力成,个人
5f4adead2018c1179b9dd4db,600456,陕西省国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd4e1,600463,北京市顺义区人民政府国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd4e5,600469,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd4f7,600495,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd50d,600519,贵州省人民政府国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd510,600522,薛济萍,个人
5f4adead2018c1179b9dd517,600530,上海大众企业管理有限公司职工持股会,职工持股会(工会)
5f4adead2018c1179b9dd520,600540,新疆生产建设兵团农业第五师国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd526,600549,福建省国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd536,600568,许德来,个人
5f4adead2018c1179b9dd543,600582,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd546,600585,安徽省国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd548,600587,山东省人民政府国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd549,600588,王文京,个人
