tinySentence,matches
中国纺织机械(集团)有限公司党群工作部部长,"[""部长"",""工作""]"
公司党委工作部副部长,"[""部长"",""工作""]"
党委委员兼深圳区域公司总经理,"[""委员"",""经理""]"
1995年毕业于中央党校经济管理专业,"[""专业"",""毕业""]"
1984年至1999年任珠海市信息中心主任兼中共党支部书记,"[""主任"",""书记""]"
1984年至1999年任珠海市信息中心主任兼中共党支部书记,"[""主任"",""书记""]"
党委组织部干部科科长,"[""科长"",""干部""]"
党委工作部副部长,"[""部长"",""工作""]"
党委工作部工资定额科科长,"[""科长"",""工作""]"
湖北机械集团党委办公室主任兼党委秘书,"[""主任"",""秘书""]"
湖北机械集团党委办公室主任兼党委秘书,"[""主任"",""秘书""]"
三环集团有限公司党群工作部部长,"[""部长"",""工作""]"
党群工作部部长,"[""部长"",""工作""]"
党群工作部副部长,"[""部长"",""工作""]"
党群工作部部长,"[""部长"",""工作""]"
总经理兼党委书记,"[""书记"",""经理""]"
潍柴控股集团有限公司财务部部长兼财务党支部副书记,"[""部长"",""书记""]"
中国***广东省委员会青年委副主任,"[""主任"",""委员""]"
曾任沈阳市石化局党委办公室主任科员,"[""员"",""主任""]"
沈阳市石化局党委工作部团委书记,"[""书记"",""工作""]"
沈阳市石化局党委工作部团委书记,"[""书记"",""工作""]"
沈阳化工集团有限公司党委工作部部长,"[""部长"",""工作""]"
中国***革命委员会福建省委员会委员,"[""委员"",""委员"",""委员""]"
中国***革命委员会厦门市委会常委,"[""委员"",""常委""]"
党委工作部部长,"[""部长"",""工作""]"
省委党校研究生学历,"[""学历"",""研究生""]"
省委党校研究生学历,"[""学历"",""研究生""]"
省委党校研究生学历,"[""学历"",""研究生""]"
省委党校研究生学历,"[""学历"",""研究生""]"
省委党校研究生学历,"[""学历"",""研究生""]"
省委党校研究生学历,"[""学历"",""研究生""]"
曾任中兴-沈阳商业大厦(集团)股份有限公司钟表眼镜商场总经理兼党支部书记,"[""书记"",""经理""]"
中共党员.现任合肥丰乐种业股份有限公司玉米事业部总经理.曾任合肥市种子公司业务员,"[""员"",""党员"",""经理""]"
曾任沈阳市委组织部干部五处处长,"[""处长"",""干部""]"
公司总裁助理兼党委工作部部长,"[""部长"",""工作""]"
广西南宁市经济体制改革委员会办公室主任兼党组书记,"[""主任"",""书记"",""委员""]"
广西南宁市法制办公室局长(主任)兼党组书记,"[""主任"",""书记""]"
河南省委组织部青年干部处主任干事,"[""主任"",""干事"",""干部""]"
现任中原出版传媒投资控股集团有限公司党委审计工作领导小组办公室主任,"[""主任"",""领导"",""工作""]"
2006年2月-2009年12月任中共郑州市新华书店委员会书记,"[""书记"",""委员""]"
2018年3月-2018年5月任中原大地传媒股份有限公司副总经理兼河南省新华书店发行集团有限公司党委书记,"[""书记"",""经理""]"
2018年5月至今任中原大地传媒股份有限公司副总经理兼河南省新华书店发行集团有限公司党委副书记,"[""书记"",""经理""]"
共青团湖南省委青工部(后更名为城市青年工作部)部长,"[""部长"",""工作""]"
曾任湖南农科院党委办公室主任兼院办公室主任,"[""主任"",""主任""]"
任西安旅游集团有限责任公司党群工作主管,"[""主管"",""工作""]"
曾荣获共青团西安市委优秀团干部,"[""干部"",""荣获""]"
2018年3月-2018年7月任中原出版传媒投资控股集团有限公司综合部主任兼党委宣传部主任,"[""主任"",""主任""]"
党委工作部干事,"[""干事"",""工作""]"
党委委员兼长江电器设备公司总经理,"[""委员"",""经理""]"
重庆京东方光电科技有限公司企业文化/党群工作部部长,"[""部长"",""工作""]"
企业文化中心企业文化/党群工作部部长兼企业文化科科长,"[""部长"",""科长"",""工作""]"
副总经理兼任燕京啤酒(包头雪鹿)股份有限公司党委书记,"[""书记"",""经理""]"
曾任北京市委组织部宣教政法处主任科员,"[""员"",""主任""]"
北京无线电厂党委工作部部长,"[""部长"",""工作""]"
北京电子控股有限责任公司党委工作部部长,"[""部长"",""工作""]"
党群工作部副部长,"[""部长"",""工作""]"
党群工作部(纪检监察部)部长,"[""部长"",""工作""]"
党群工作部总经理,"[""经理"",""工作""]"
中国证监会安徽监管局党务工作办公室(纪检监察办公室)副主任,"[""主任"",""工作""]"
中国***革命委员会安徽省委员会副主委,"[""委员"",""委员"",""主委""]"
顺义区委组织部综合干部科科长,"[""科长"",""干部""]"
顺义区委组织部副处级干部(其间:2010.12-2013.12援建新疆和田任墨玉县委组织部副部长),"[""部长"",""干部""]"
顺义区委组织部副处级干部(其间:2010.12-2013.12援建新疆和田任墨玉县委组织部副部长),"[""部长"",""干部""]"
中国振华(集团)科技股份有限公司常务副总经理2008.06-2011.03贵州振华电子国有资产经营有限公司(中国振华电子集团有限公司)党委委员,"[""委员"",""经理""]"
中国振华(集团)科技股份有限公司总经理2011.03-2013.06贵州中电振华信息产业有限公司(中国振华电子集团有限公司)党委委员,"[""委员"",""经理""]"
083基地副主任2013.06-2014.08贵州中电振华信息产业有限公司(中国振华电子集团有限公司)党委委员,"[""主任"",""委员""]"
现任职务中国振华电子集团有限公司纪委书记,"[""书记"",""任职""]"
