中信证券,600030,收入构成,报告日期,2020-06-30,
河南省,1663,-- ,-577,--,-0.08%
安徽省,927,-- ,-630,--,-0.09%
浙江省,123859,-- ,65875,--,9.6%
江苏省,18031,-- ,8088,--,1.18%
上海市,38214,-- ,16771,--,2.44%
吉林省,14,-- ,-152,--,-0.02%
辽宁省,4833,-- ,310,--,0.05%
山西省,1292,-- ,-117,--,-0.02%
河北省,1380,-- ,-188,--,-0.03%
天津市,6252,-- ,3590,--,0.52%
北京市,40817,-- ,21084,--,3.07%

中信证券,600030,收入构成,报告日期,2013-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
境外,47075,-- ,47075,--,7.79%
公司本部,403772,-- ,403772,--,66.83%
宁夏回族自治区,115,-- ,115,--,0.02%
云南省,24,-- ,24,--,0%
广西壮族自治区,150,-- ,150,--,0.02%
安徽省,391,-- ,391,--,0.06%
山西省,593,-- ,593,--,0.1%
河南省,709,-- ,709,--,0.12%
河北省,593,-- ,593,--,0.1%
吉林省,1,-- ,1,--,0%
海南省,92,-- ,92,--,0.02%
陕西省,1390,-- ,1390,--,0.23%
福建省,440,-- ,440,--,0.07%
天津市,2833,-- ,2833,--,0.47%
四川省,1116,-- ,1116,--,0.18%
辽宁省,2241,-- ,2241,--,0.37%
江西省,504,-- ,504,--,0.08%
湖南省,565,-- ,565,--,0.09%
湖北省,2780,-- ,2780,--,0.46%
江苏省,8028,-- ,8028,--,1.33%
广东省,10546,-- ,10546,--,1.75%
山东省,29823,-- ,29823,--,4.94%
浙江省,55373,-- ,55373,--,9.17%
上海市,16988,-- ,16988,--,2.81%
北京市,17992,-- ,17992,--,2.98%

中信证券,600030,收入构成,报告日期,2012-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
境外,79823,-- ,23948,--,4.41%
公司本部,869575,-- ,470219,--,86.59%
宁夏回族自治区,110,-- ,-47,--,-0.01%
陕西省,1857,-- ,583,--,0.11%
云南省,22,-- ,-402,--,-0.07%
四川省,1589,-- ,552,--,0.1%
海南省,86,-- ,-257,--,-0.05%
广西省,57,-- ,-407,--,-0.07%
广东省,13150,-- ,1835,--,0.34%
湖南省,846,-- ,109,--,0.02%
湖北省,3551,-- ,545,--,0.1%
河南省,975,-- ,-946,--,-0.17%
山东省,44900,-- ,11921,--,2.2%
江西省,465,-- ,-2368,--,-0.44%
福建省,395,-- ,-1377,--,-0.25%
安徽省,464,-- ,-1167,--,-0.21%
浙江省,83681,-- ,26111,--,4.81%
江苏省,12323,-- ,4388,--,0.81%
上海市,23167,-- ,3661,--,0.67%
吉林省,19,-- ,-120,--,-0.02%
辽宁省,3085,-- ,-1063,--,-0.2%
山西省,850,-- ,-391,--,-0.07%
河北省,876,-- ,-555,--,-0.1%
天津市,4214,-- ,1483,--,0.27%
北京市,23308,-- ,6815,--,1.25%

中信证券,600030,收入构成,报告日期,2012-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
境内,562690,-- ,562690,--,49.29%
境外,16129,-- ,16129,--,1.41%
其中:河南省,391,-- ,391,--,0.03%
其中:湖北省,1779,-- ,1779,--,0.16%
其中:公司本部,451545,-- ,451545,--,39.56%
其中:北京市,12290,-- ,12290,--,1.08%
其中:福建省,149,-- ,149,--,0.01%
其中:广西壮族自治区,14,-- ,14,--,0%
其中:山西省,459,-- ,459,--,0.04%
其中:山东省,24061,-- ,24061,--,2.11%
其中:上海市,12016,-- ,12016,--,1.05%
其中:陕西省,983,-- ,983,--,0.09%
其中:四川省,873,-- ,873,--,0.08%
其中:辽宁省,1637,-- ,1637,--,0.14%
其中:天津市,2380,-- ,2380,--,0.21%
其中:河北省,509,-- ,509,--,0.04%
其中:海南省,36,-- ,36,--,0%
其中:湖南省,511,-- ,511,--,0.04%
其中:江苏省,6666,-- ,6666,--,0.58%
其中:云南省,4,-- ,4,--,0%
其中:安徽省,221,-- ,221,--,0.02%
其中:广东省,6948,-- ,6948,--,0.61%
其中:浙江省,38946,-- ,38946,--,3.41%
其中:宁夏回族自治区,38,-- ,38,--,0%
其中:吉林省,14,-- ,14,--,0%
