中储股份,600787,收入构成,报告日期,2005-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
公司内各业务分部间相互抵销,-10435,-10435,0,0%,0%
四川地区,2739,2453,286,10.43%,0.82%
湖南地区,20134,19283,852,4.23%,2.45%
湖北地区,2100,1076,1024,48.76%,2.94%
河南地区,9135,5113,4022,44.03%,11.56%
陕西地区,8055,6734,1321,16.4%,3.8%
沈阳地区,12637,12359,278,2.2%,0.8%
北京地区,6603,6525,78,1.18%,0.22%
山东地区,9309,8476,833,8.95%,2.4%
江苏地区,155745,147513,8231,5.29%,23.66%
上海地区,65940,58525,7415,11.25%,21.32%
天津地区,239495,229052,10443,4.36%,30.02%

中储股份,600787,收入构成,报告日期,2005-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
河南地区,2357,656,0,72.17%,0%
山东地区,5844,5445,0,6.82%,0%
江苏地区,76797,72580,0,5.49%,0%
上海地区,31663,28091,0,11.28%,0%
天津地区,118012,112730,0,4.48%,0%

中储股份,600787,收入构成,报告日期,2004-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
内部抵消,-4531,-4484,-47,1.04%,0%
沈阳地区,2387,2424,-37,-1.56%,-0.15%
北京地区,6168,6027,140,2.29%,0.56%
山东地区,17311,16655,598,3.79%,2.41%
河南地区,5822,2490,3267,57.22%,13.15%
江苏地区,143001,135490,7180,5.25%,28.9%
上海地区,49802,44632,4668,10.38%,18.79%
天津地区,122281,112664,9079,7.87%,36.35%

中储股份,600787,收入构成,报告日期,2004-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
山东地区,448,397,0,11.31%,0%
江苏地区,76373,72030,0,5.69%,0%
河南地区,2800,1247,0,55.47%,0%
上海地区,23244,20755,0,10.71%,0%
天津地区,66210,60738,0,8.26%,0%

中储股份,600787,收入构成,报告日期,2003-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
公司内各业务分部间相互抵销,-244,-244,0,0%,0%
山东地区,404,318,0,21.22%,0%
河南地区,3134,1252,0,60.05%,0%
浙江地区,1287,1196,0,7.05%,0%
江苏地区,81304,75726,0,6.86%,0%
上海地区,36970,32012,0,13.41%,0%
天津地区,72437,65730,0,9.26%,0%

中储股份,600787,收入构成,报告日期,2003-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
青岛地区,199,141,0,29.35%,0%
无锡地区,6303,5116,0,18.84%,0%
南京地区,30440,29087,0,4.45%,0%
郑州地区,1404,619,0,55.92%,0%
上海地区,9639,7265,0,24.63%,0%
天津地区,42195,39128,0,7.27%,0%

中储股份,600787,收入构成,报告日期,2002-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
无锡地区,9049,0,1859,100%,0%
南京地区,29637,0,1524,100%,10.03%
郑州地区,2584,0,1474,100%,0%
上海地区,29037,0,4804,100%,0%
天津地区,32968,0,5523,100%,0%

中储股份,600787,收入构成,报告日期,2002-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
无锡地区,4260,3298,910,22.57%,13.6%
南京地区,12735,12041,656,5.45%,9.81%
郑州地区,1225,517,694,57.79%,10.37%
上海地区,13475,10788,2472,19.94%,36.94%
天津地区,15272,13182,1959,13.68%,29.28%

中储股份,600787,收入构成,报告日期,2001-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
公司内各业务分部间相互抵销,-2096,-2096,0,0%,0%
无锡地区,6536,0,1033,100%,7.1%
南京地区,19898,0,817,100%,5.61%
郑州地区,2725,0,1405,100%,9.65%
上海地区,16750,0,3813,100%,26.19%
天津地区,26149,0,7492,100%,51.46%

