bookValuePerShare,cashAndCashEquivalentsIncrease,cashFlowFromOperatingActivities,cashFlowFromOperatingActivitiesPerShare,currentAsset,currentLiability,earningPerShare,equity,investmentRevenue,netProfit,netProfitExclNonRecurring,operatingProfit,operatingRevenue,stockCode,totalAsset,totalLiability,type,year
null,-34947,88633,null,617546,500947,0.15,483709,299,23630,23112,34500,665506,002390.SZ,1041940,537108,indicators,2019
null,-16935,37444,null,263330,82135,0.69,345802,2397,37084,35546,44015,337717,002391.SZ,514245,166624,indicators,2019
null,-3481,41597,null,406745,174898,0.35,380449,663,41590,38501,51058,374241,002392.SZ,559019,177662,indicators,2019
null,13638,26833,null,238916,64033,1.03,441685,2888,18814,17943,22015,161528,002393.SZ,527270,85585,indicators,2019
null,-381,44470,null,278677,69958,1.18,341063,3373,39307,30760,50983,391053,002394.SZ,451217,108091,indicators,2019
null,-3066,1934,null,86817,45334,0.17,85236,3,3028,2659,3389,141660,002395.SZ,132804,47568,indicators,2019
null,43399,76306,null,597834,275486,1.05,422673,3358,61131,54325,84029,926577,002396.SZ,765063,281412,indicators,2019
null,5320,55477,null,191636,134348,0.11,192151,-356,8539,8167,12430,260361,002397.SZ,347441,142390,indicators,2019
null,-2404,30830,null,311013,151715,0.58,283462,2047,40244,37581,47907,339352,002398.SZ,444905,155053,indicators,2019
null,-44956,-22760,null,599553,496714,0.85,734701,61124,105936,44598,131473,462465,002399.SZ,1524221,777110,indicators,2019
null,68344,54484,null,510016,295300,0.09,537897,3424,14949,9817,26814,1153569,002400.SZ,876043,314636,indicators,2019
null,34593,39515,null,311017,233642,0.32,95523,152,9664,7821,11601,120371,002401.SZ,331721,234560,indicators,2019
null,19841,47166,null,267445,163974,0.36,208507,-223,30337,28999,35145,364938,002402.SZ,454264,236513,indicators,2019
null,-8784,801,null,266581,228214,0.38,216103,2393,12828,9519,13913,355025,002403.SZ,524616,306497,indicators,2019
null,2391,15849,null,210037,110792,0.27,177304,4569,15796,10758,20471,343847,002404.SZ,302605,117929,indicators,2019
null,-50292,3457,null,272861,104534,0.18,779954,25554,33918,-15801,26241,230974,002405.SZ,905562,106426,indicators,2019
null,57461,25573,null,276864,37161,0.49,289339,310,27258,24447,31587,175420,002406.SZ,402491,113085,indicators,2019
null,-21339,4562,null,374602,444181,-0.61,291420,368,-41628,-48793,-45714,385075,002407.SZ,904251,557585,indicators,2019
null,26022,76484,null,554815,519995,0.35,756036,1274,62050,55487,70595,3005769,002408.SZ,1413082,593468,indicators,2019
null,10774,33201,null,190251,46722,0.63,441760,1902,29264,22894,38099,183239,002409.SZ,507050,52371,indicators,2019
null,1948,64092,null,295045,280931,0.21,326923,2251,23507,19091,29037,346415,002410.SZ,616732,281822,indicators,2019
null,-76108,-41639,null,846541,1035740,0.26,987758,2160,40010,24550,39164,932818,002411.SZ,2275139,1244512,indicators,2019
null,3389,16779,null,59386,33652,0.32,152998,4749,16238,15434,18764,88749,002412.SZ,188291,35293,indicators,2019
null,-3998,10470,null,206735,83599,0.13,360270,1866,13654,10195,19091,112477,002413.SZ,458441,89192,indicators,2019
null,-29550,33001,null,253317,63582,0.24,353349,387,22064,18341,20973,163797,002414.SZ,433233,79884,indicators,2019
null,48466,776772,null,6402634,2352080,1.34,4490403,3665,1241459,1203752,1370755,5765811,002415.SZ,7535800,2988514,indicators,2019
null,105082,169151,null,906357,523273,0.28,495461,4641,34368,27395,38265,5579663,002416.SZ,1022420,523584,indicators,2019
null,-5812,949,null,41292,27773,0.03,23305,-138,837,489,3176,28944,002417.SZ,52759,27821,indicators,2019
null,834,20265,null,175437,286239,-0.48,61187,425,-54234,-53509,-50990,200764,002418.SZ,349757,289564,indicators,2019
null,40560,145899,null,958980,953687,0.72,694958,662,85930,71667,108972,1939253,002419.SZ,1663343,967820,indicators,2019
null,11,-3740,null,151447,159150,0.33,50188,313,13414,-12996,13625,351481,002420.SZ,217677,166252,indicators,2019
null,8935,47397,null,434812,234648,-0.18,282284,450,-34289,-36933,-34332,220585,002421.SZ,644244,355353,indicators,2019
null,39163,221674,null,1417443,1482037,0.66,1318805,17405,93786,78965,127688,1763627,002422.SZ,3148537,1757933,indicators,2019
null,316521,498459,null,3400470,1752775,0.28,1633439,145511,65218,60902,132384,32663,002423.SZ,6717827,4567458,indicators,2019
null,55712,46741,null,458177,266870,0.21,406054,-7057,29138,23024,35878,285059,002424.SZ,705892,291414,indicators,2019
null,8452,38729,null,95773,84862,0.26,408980,134,20969,18511,18154,80370,002425.SZ,497823,88966,indicators,2019
null,-17297,65110,null,772931,900320,-0.89,416718,-605,-306971,-320170,-326732,1364964,002426.SZ,1369829,950591,indicators,2019
null,-11560,37528,null,268552,435262,0.15,80714,2550,6116,-43615,10466,308404,002427.SZ,590975,510266,indicators,2019
null,-1866,-10405,null,62884,41076,-0.09,143030,3,-5915,-6099,-5373,41847,002428.SZ,203133,55006,indicators,2019
null,64533,-147997,null,1627178,1117290,0.25,975195,4302,113473,91117,134036,1330220,002429.SZ,2198574,1221268,indicators,2019
null,-564,146606,null,616554,439927,0.66,577996,1497,63530,57300,85047,818701,002430.SZ,1204934,584098,indicators,2019
null,-15135,-24229,null,1165477,1083391,-0.66,457554,5640,-98145,-108558,-117053,270883,002431.SZ,1719514,1244296,indicators,2019
null,-25546,-6382,null,109426,16237,0.15,164373,149,6306,-24613,1952,71031,002432.SZ,194873,36385,indicators,2019
null,-14067,33625,null,424798,219769,0.13,523037,4369,9609,3540,12742,401316,002433.SZ,880498,340796,indicators,2019
null,-7128,78475,null,517943,448317,0.3,616473,5280,40033,18262,41712,509983,002434.SZ,1090173,466660,indicators,2019
null,16866,37461,null,394612,172489,-0.3,491901,2232,-37230,-62950,-42845,507290,002435.SZ,756132,237108,indicators,2019
null,4074,51346,null,240025,143054,0.2,283137,148,29192,25691,35554,380372,002436.SZ,520101,223460,indicators,2019
null,41508,61037,null,320308,476594,-1.21,152136,-1631,-266177,-259631,-247255,505386,002437.SZ,640758,481908,indicators,2019
null,2769,11408,null,226453,130473,0.35,197026,2331,17203,14100,19139,134822,002438.SZ,335850,138824,indicators,2019
null,101646,49665,null,513033,162023,0.77,436330,2020,68828,57445,74066,308950,002439.SZ,689616,252839,indicators,2019
null,48453,183970,null,622754,185871,1.19,877534,3078,136997,107511,156856,651317,002440.SZ,1091071,191679,indicators,2019
null,-17885,40164,null,413375,139665,0.41,384351,299,22512,22225,30386,992526,002441.SZ,536508,141162,indicators,2019
