bookValuePerShare,cashAndCashEquivalentsIncrease,cashFlowFromOperatingActivities,cashFlowFromOperatingActivitiesPerShare,currentAsset,currentLiability,earningPerShare,equity,investmentRevenue,netProfit,netProfitExclNonRecurring,operatingProfit,operatingRevenue,stockCode,totalAsset,totalLiability,type,year
null,-42617,69505,null,449799,145916,1.09,508539,7887,50565,38207,57130,311036,603599.SH,659869,151330,indicators,2019
null,-8691,19803,null,125420,65069,0.6,123575,1812,18133,14477,22193,245048,603600.SH,190595,65771,indicators,2019
null,-950,34451,null,110694,79569,0.24,142487,833,17094,16426,18650,125219,603601.SH,244826,98309,indicators,2019
null,-1769,-6400,null,105853,49973,0.25,70305,360,3851,3274,3498,86475,603602.SH,121028,49973,indicators,2019
null,-12079,52099,null,391132,702851,-2.01,86226,-839,-83085,-77195,-98793,285492,603603.SH,1227941,1068325,indicators,2019
null,-2777,23596,null,191287,87433,1.96,202969,212,39268,38617,46161,312352,603605.SH,297937,90931,indicators,2019
null,-25754,67202,null,296415,174824,0.69,213865,-137,45214,43531,52235,369043,603606.SH,394314,180044,indicators,2019
null,-6626,15335,null,62366,19809,0.82,83315,697,10506,9570,11494,67054,603607.SH,104109,20770,indicators,2019
null,-2095,33601,null,128270,43826,0.49,215248,726,20741,19329,23941,208921,603608.SH,266097,48857,indicators,2019
null,61919,111161,null,396220,243269,1.34,569814,63748,119935,119098,159450,1779209,603609.SH,914977,265028,indicators,2019
null,128968,35333,null,271532,45125,3.32,284521,-825,39488,39371,45985,252926,603610.SH,347837,63070,indicators,2019
null,5370,37140,null,347648,307165,0.93,160666,289,24228,20685,27846,308725,603611.SH,505530,343231,indicators,2019
null,4286,-21468,null,394076,295227,0.26,259508,-1909,8645,11573,15056,437164,603612.SH,775638,468459,indicators,2019
null,42088,37972,null,218429,109193,1.32,107947,-176,15894,15450,23840,719768,603613.SH,222862,109296,indicators,2019
null,8650,13974,null,91659,17552,0.29,137731,780,6884,6490,9272,78667,603615.SH,156015,18284,indicators,2019
null,-571,14430,null,127524,144817,-0.23,71737,50,-6702,-6910,-6702,97743,603616.SH,229699,155172,indicators,2019
null,7330,6895,null,57958,32054,0.53,59164,296,7504,6957,8777,67271,603617.SH,91255,32091,indicators,2019
null,24833,829,null,485473,302659,0.17,264307,-3282,11627,10650,13731,490920,603618.SH,662892,392944,indicators,2019
null,-6331,17855,null,238257,286032,0.04,236364,44,1609,128,11460,247190,603619.SH,537393,301022,indicators,2019
null,-51723,34397,null,143808,216923,-0.45,165858,-450,-18493,-20237,-21682,212727,603626.SH,459797,289712,indicators,2019
null,22687,14752,null,154574,126381,-0.21,89894,-112,-5626,-3175,-2488,125005,603628.SH,245615,151291,indicators,2019
null,-32628,6167,null,154687,100885,0.63,98228,345,6345,5664,7049,162025,603629.SH,199793,101565,indicators,2019
null,18962,13728,null,156802,17929,0.22,172455,2038,4963,3217,5200,96485,603630.SH,192873,19219,indicators,2019
null,-3806,10783,null,68001,54414,0.21,76054,0,4231,3638,4543,46500,603633.SH,138016,61961,indicators,2019
null,16147,-12199,null,191131,109043,0.4,206243,369,21353,20122,25158,137926,603636.SH,381176,170511,indicators,2019
null,36408,43519,null,120373,55363,0.33,77576,110,5750,5218,6325,103301,603637.SH,133851,56275,indicators,2019
null,74876,19326,null,158275,62346,0.89,200138,null,34218,33318,39501,144245,603638.SH,266200,66062,indicators,2019
null,-39972,58658,null,209688,121443,1.88,224301,-259,31578,29741,36543,246678,603639.SH,349709,125408,indicators,2019
null,-4768,18455,null,99651,24668,0.32,169470,1546,11838,10831,13970,129532,603648.SH,195854,25661,indicators,2019
null,-31983,41878,null,191323,165130,0.56,224994,2401,33060,29422,36415,220800,603650.SH,409323,167774,indicators,2019
null,-46,2757,null,34222,2416,0.22,49313,null,2292,1857,2715,15998,603655.SH,52190,2877,indicators,2019
null,-15748,4231,null,82737,10296,0.42,93046,1994,6242,3113,4979,38516,603656.SH,105598,11782,indicators,2019
null,11479,12622,null,75357,11851,1.11,87204,443,10661,10099,12565,56287,603657.SH,99617,12413,indicators,2019
null,7927,84289,null,201729,98704,1.84,255692,1735,77416,74021,89424,267944,603658.SH,425687,162230,indicators,2019
null,-71910,49043,null,496989,417452,1.5,340942,870,65107,60563,76466,479853,603659.SH,813092,448633,indicators,2019
null,-1068,-8632,null,223661,92351,0.18,182554,24,9111,5940,7004,254651,603660.SH,287943,103290,indicators,2019
null,14642,28622,null,189854,83845,2.43,252094,3801,24339,18785,28017,290374,603661.SH,374419,114394,indicators,2019
null,67723,17253,null,152050,31356,1.84,175187,1828,18309,13328,19549,74046,603662.SH,209171,33690,indicators,2019
null,-511,5975,null,45312,34581,0.44,52777,null,8271,7970,13072,76108,603663.SH,103585,46620,indicators,2019
null,-1471,9257,null,70766,36882,0.5,102966,778,5007,5477,6093,98683,603665.SH,143234,38903,indicators,2019
null,298,780,null,129696,31792,2.61,120268,1359,25617,21451,27174,72375,603666.SH,155491,35223,indicators,2019
null,-376,23390,null,145906,120556,0.36,173023,67,10240,9092,11178,181760,603667.SH,311120,128903,indicators,2019
null,-22113,74560,null,167815,128295,0.18,114553,-512,5685,4258,8558,242838,603668.SH,272638,132658,indicators,2019
null,-20414,23561,null,122606,40070,0.4,131383,796,20159,13899,22263,163500,603669.SH,191344,59960,indicators,2019
null,1540,10634,null,90135,36841,0.13,93005,1434,5568,3624,5522,74096,603676.SH,130461,37456,indicators,2019
null,-11842,11394,null,110562,42730,0.4,107398,674,7632,6947,9155,166639,603677.SH,177494,70095,indicators,2019
null,23617,23214,null,289009,107748,0.84,311293,558,38144,35539,46992,256939,603678.SH,441661,123568,indicators,2019
null,1536,-7545,null,92359,49706,0.93,68061,null,9411,9251,11434,71186,603679.SH,123567,54686,indicators,2019
null,32128,-13980,null,631284,408721,0.5,413900,13006,39559,35329,42116,375283,603680.SH,923734,505616,indicators,2019
null,25196,20070,null,122969,44641,0.95,136514,-499,14828,14751,16638,214426,603681.SH,185778,49264,indicators,2019
null,-2123,26540,null,24737,37257,0.47,88246,1028,17901,16776,23468,82196,603682.SH,128299,40024,indicators,2019
null,-254,8824,null,62754,50260,0.03,79063,163,347,-1003,-1683,93139,603683.SH,151190,68547,indicators,2019
null,1094,4474,null,93406,37721,0.66,104931,606,11201,9183,14381,111700,603685.SH,155183,46330,indicators,2019
null,-13612,32318,null,330281,185690,0.65,249996,685,27037,24639,36459,422793,603686.SH,453974,189201,indicators,2019
null,13083,16390,null,87753,53016,0.28,144703,2367,10565,8231,11118,126636,603687.SH,214745,68758,indicators,2019
null,-7943,4175,null,119543,8239,0.49,153873,3045,16314,13076,18415,62234,603688.SH,193809,39936,indicators,2019
null,-6378,31947,null,85693,44854,0.67,220141,119,22386,21775,29996,417120,603689.SH,341354,95480,indicators,2019
null,33862,-11094,null,215061,124720,0.46,148292,87,11025,9054,11933,98644,603690.SH,325711,175623,indicators,2019
null,-25758,51744,null,245928,104469,0.41,459279,793,25395,24606,33949,148440,603693.SH,834213,328007,indicators,2019
null,-726,3791,null,38653,4570,0.18,59109,620,4280,3182,4907,42130,603696.SH,63719,4610,indicators,2019
null,3710,15318,null,134588,14158,0.64,156569,1549,17905,17382,20564,100799,603697.SH,174369,17800,indicators,2019
null,-7429,-1865,null,275906,107186,0.29,278668,null,15531,13892,16231,177649,603698.SH,392315,113647,indicators,2019
null,-8190,7715,null,371371,223028,0.61,262245,2727,45544,42055,53859,305664,603699.SH,496150,229156,indicators,2019
null,26785,13972,null,153826,44638,1.39,124417,969,21230,18808,23590,137112,603700.SH,170051,45452,indicators,2019
null,1593,7568,null,55163,22912,0.28,69804,1097,5751,4981,6537,47620,603701.SH,97561,27051,indicators,2019
null,1197,5225,null,71245,82343,0.02,44090,3,387,-2311,2104,83445,603703.SH,139844,84180,indicators,2019
null,9575,14628,null,58743,17582,0.71,116450,1823,11324,9603,13252,45172,603706.SH,141671,25221,indicators,2019
null,-3921,-84138,null,428878,203331,0.84,296649,1069,60496,58736,66764,246967,603707.SH,507842,207433,indicators,2019
null,-53291,67281,null,451362,535986,0.75,291739,2902,45755,43743,60694,1526376,603708.SH,850502,543450,indicators,2019
null,14580,3035,null,68839,41723,0.42,61420,551,3371,1554,4293,106971,603709.SH,103230,41810,indicators,2019
null,-5422,71995,null,209770,130597,0.85,253412,1633,34741,30650,44011,397800,603711.SH,391562,138150,indicators,2019
null,-304,22124,null,474783,284459,0.45,255827,1115,34532,32310,34043,214065,603712.SH,546469,290641,indicators,2019
null,-141,21251,null,112936,72629,1.29,143467,664,19606,18836,23890,241880,603713.SH,256912,109332,indicators,2019
null,-18376,9392,null,222912,132011,0.56,148917,34,11042,10833,18746,183077,603716.SH,300706,138600,indicators,2019
null,2667,-30310,null,238519,149569,0.25,141066,1436,6142,4455,6922,83731,603717.SH,345713,200621,indicators,2019
null,411,5925,null,80584,64034,0.02,106081,3237,1215,-2200,702,27799,603718.SH,170129,70872,indicators,2019
null,48839,34219,null,301490,235854,0.95,141559,2033,34035,27353,47140,771499,603719.SH,383169,236654,indicators,2019
null,-10641,-4324,null,57741,12468,0.15,54371,-7,1935,-3206,3086,26893,603721.SH,66900,12528,indicators,2019
null,-78,4249,null,31936,13918,0.45,54147,243,3921,3480,4409,50499,603722.SH,68672,14535,indicators,2019
null,-248,7738,null,63025,41800,0.03,80389,249,650,-692,-78,86806,603725.SH,123656,42965,indicators,2019
null,-3054,9667,null,89836,67039,0.57,92543,-329,10553,9936,12553,159305,603726.SH,163459,70917,indicators,2019
null,23452,-4472,null,153859,72876,0.15,233453,1689,3465,880,2667,135410,603727.SH,315557,82103,indicators,2019
null,23859,21169,null,164268,62528,0.42,200901,530,17464,16050,19266,205797,603728.SH,265085,64082,indicators,2019
null,-12633,16102,null,66861,32507,-0.63,80620,-317,-5874,-5213,-5803,64292,603729.SH,113472,32607,indicators,2019
null,5266,43934,null,309822,125737,1.54,373764,-1147,62533,59603,68759,481789,603730.SH,527171,153016,indicators,2019
null,112785,45564,null,386971,225653,0.72,383045,10587,43993,41886,50450,456704,603733.SH,737832,353356,indicators,2019
null,34696,39989,null,353627,352979,2.18,172491,154,40614,35663,52002,597226,603737.SH,567530,383885,indicators,2019
null,5802,20131,null,56284,25319,0.07,74444,63,1138,765,1605,57969,603738.SH,118214,35125,indicators,2019
null,1459,6533,null,70591,18378,0.51,96218,597,7775,5332,9779,84678,603739.SH,128125,24899,indicators,2019
null,462,8240,null,58107,4874,1.04,58196,null,8527,8200,9661,28565,603755.SH,63148,4952,indicators,2019
null,10860,25004,null,107282,27068,1.04,112534,888,17066,15160,19595,113486,603757.SH,141612,29077,indicators,2019
null,8557,5312,null,158131,17360,0.27,246325,93,11797,-11470,13495,59569,603758.SH,264901,18575,indicators,2019
null,39985,110629,null,683556,516454,0.3,692880,2104,62285,47207,75595,1065041,603766.SH,1313116,560201,indicators,2019
null,23874,6796,null,108355,35770,0.25,144466,1067,7483,6105,8367,94639,603767.SH,190471,46006,indicators,2019
null,-36327,-15834,null,170431,166322,0.12,169675,1291,2452,124,3618,183444,603768.SH,368217,198542,indicators,2019
null,-17045,7806,null,98949,18049,0.54,161641,null,5090,3884,6454,52432,603773.SH,180930,19290,indicators,2019
null,-17728,39214,null,315604,69553,2.69,270353,434,50056,11188,65762,93555,603776.SH,396383,125605,indicators,2019
null,-10892,10154,null,196733,108915,0.03,176346,1858,1037,-3296,2208,400249,603777.SH,286630,110284,indicators,2019
null,2704,-3014,null,141312,68287,0.03,100386,236,1678,628,2405,35596,603778.SH,171988,71287,indicators,2019
null,-6651,15104,null,105453,68082,-0.08,135975,3,-2587,-2653,-1022,66726,603779.SH,205670,69695,indicators,2019
null,-5318,56245,null,287473,52161,1.3,324087,4258,47486,44897,60581,292214,603786.SH,393378,57521,indicators,2019
null,51408,6716,null,121653,83210,0.35,96352,609,7053,5647,7379,305551,603787.SH,182035,85568,indicators,2019
null,58931,33094,null,197405,31382,0.78,185375,2406,17828,15089,21228,94406,603788.SH,217226,31851,indicators,2019
null,678,-10243,null,101681,55526,0.05,104390,-201,1209,-791,2660,70548,603789.SH,171933,60510,indicators,2019
null,-4115,9388,null,104834,13513,0.61,112201,696,11728,10202,13770,95656,603790.SH,132891,13554,indicators,2019
null,-2300,41428,null,52548,105900,0.58,144246,227,17596,17600,21181,48815,603797.SH,539288,383428,indicators,2019
null,-5997,2595,null,64081,11425,0.42,92395,551,8467,7364,9702,97024,603798.SH,105672,13496,indicators,2019
null,15486,259967,null,944964,1129875,0.11,774775,-4641,11953,6816,16098,1885283,603799.SH,2326698,1317609,indicators,2019
null,24239,19401,null,136582,73261,0.54,101134,967,11228,10616,13611,130978,603800.SH,175300,74360,indicators,2019
null,-15327,34438,null,179761,111617,1.49,192920,1349,32943,28524,38480,296214,603801.SH,309540,116620,indicators,2019
null,-16860,18135,null,339743,127910,0.42,262329,-292,17730,16539,19689,266008,603803.SH,390187,127912,indicators,2019
null,131111,43494,null,674462,86153,1.83,652498,2692,95706,81050,109426,637815,603806.SH,830511,177586,indicators,2019
null,-9997,44003,null,170072,70737,1.07,187114,3871,35658,30235,49124,261259,603808.SH,344789,148630,indicators,2019
null,-32761,23522,null,105996,61878,0.58,158756,1032,12198,10372,14724,92770,603809.SH,247511,76216,indicators,2019
null,4362,12240,null,100234,40413,0.43,110192,1380,3476,2267,4384,86576,603810.SH,153885,43693,indicators,2019
null,-3126,18101,null,31718,20220,1.1,75662,4,13139,12061,15429,68123,603811.SH,98025,21129,indicators,2019
null,105,6316,null,43234,17225,0.78,67220,-15,6909,6745,8172,103273,603813.SH,84491,17266,indicators,2019
null,-5398,-72293,null,373722,317766,0.23,108528,100,10673,10383,14515,285188,603815.SH,493941,379873,indicators,2019
null,138277,212414,null,611344,449769,1.98,590618,13963,116116,84884,129187,1109359,603816.SH,1225999,595943,indicators,2019
null,11724,22323,null,87649,89812,0.29,171172,-30,13014,12482,14989,64055,603817.SH,396899,211258,indicators,2019
null,36153,70073,null,189915,262269,0.17,150118,-1700,8216,6868,10708,427936,603818.SH,771677,577451,indicators,2019
null,-17701,-1251,null,75768,35690,0.57,77762,6,9517,2481,11017,110217,603819.SH,113638,35876,indicators,2019
null,-5389,13226,null,68759,49037,0.83,77852,3,6113,6214,7401,125398,603822.SH,156335,75078,indicators,2019
null,159,18442,null,168886,90584,1.01,158746,647,22722,21147,28757,198115,603823.SH,277970,98560,indicators,2019
null,-2209,77952,null,557167,430627,0.85,168955,-2085,19216,20111,24539,1050679,603825.SH,607535,438335,indicators,2019
null,5417,14059,null,66093,26984,0.31,140233,485,14680,14111,17608,61701,603826.SH,180025,39317,indicators,2019
null,-17826,9649,null,283519,267238,0.07,114430,1146,3728,1669,4564,228703,603828.SH,399320,281982,indicators,2019
null,3820,4286,null,71066,32278,0.3,68373,532,4828,4411,5647,61434,603829.SH,101076,32481,indicators,2019
null,-105062,215634,null,645155,328014,4.42,955892,2449,183945,168076,210472,1353336,603833.SH,1481387,525496,indicators,2019
null,5515,4847,null,41171,5094,0.16,74897,477,4357,4259,5354,40503,603838.SH,90875,15977,indicators,2019
null,4293,1101,null,229176,89471,0.76,281038,4349,30272,26045,38148,243806,603839.SH,395444,105012,indicators,2019
null,20533,42323,null,502562,447360,0.13,139365,376,7141,6388,12375,372862,603843.SH,658783,499627,indicators,2019
null,-36875,30503,null,149893,46979,0.7,146580,2983,27947,24548,32371,126027,603848.SH,194233,47132,indicators,2019
null,34609,30503,null,232625,131272,0.57,150265,719,19013,16910,20406,194255,603855.SH,286128,132814,indicators,2019
null,3403,10175,null,159677,30403,0.79,170416,412,20139,18179,22974,183857,603856.SH,208807,38391,indicators,2019
null,12554,262133,null,702180,612654,1.74,1363832,5876,194600,178261,242895,1425545,603858.SH,2118523,739718,indicators,2019
null,20359,3769,null,130387,41504,0.73,128867,-5,9011,8953,11088,76580,603859.SH,180512,42392,indicators,2019
null,603,6929,null,45083,7222,0.83,64077,362,5503,5084,6491,21678,603860.SH,75528,10773,indicators,2019
null,35405,3137,null,469576,273291,0.36,256333,1436,15924,10925,18233,286096,603861.SH,680398,401474,indicators,2019
null,2240,10938,null,68453,17773,0.49,111771,229,8915,8235,9014,58334,603863.SH,130969,19197,indicators,2019
null,-34660,88783,null,262189,59934,1.04,374315,2375,68336,65996,86305,564371,603866.SH,518604,144289,indicators,2019
null,-914,23565,null,133702,69367,1.01,134337,73,12350,11181,14237,171799,603867.SH,219548,77408,indicators,2019
null,-74599,46732,null,228268,96098,1.57,262967,2502,68582,62328,86020,375937,603868.SH,369416,106421,indicators,2019
null,-35806,25641,null,417824,298118,0.43,395018,-1721,21469,17169,22970,322797,603869.SH,714202,314475,indicators,2019
null,81478,39348,null,177494,45213,2.19,186618,2691,34333,31605,41114,417061,603871.SH,239698,46165,indicators,2019
null,29742,-63649,null,736158,730692,0.72,387696,16700,30872,12777,36583,1123635,603876.SH,1353747,964638,indicators,2019
null,-2531,86844,null,496398,334739,1.17,351445,2947,55155,35265,71073,792762,603877.SH,701502,349933,indicators,2019
null,323,4622,null,236485,70385,1.1,237463,1832,31487,29086,36658,232356,603878.SH,313235,75772,indicators,2019
null,-4000,1694,null,47647,4444,0.12,52628,441,2439,1639,2767,42873,603879.SH,58137,4479,indicators,2019
null,-3465,3299,null,50145,29246,0.17,56416,250,2805,2308,2540,49169,603880.SH,86960,30208,indicators,2019
null,-17976,19035,null,46200,166244,0.52,109831,null,11034,10097,11928,72664,603881.SH,373962,263667,indicators,2019
null,11308,66140,null,279528,164879,0.88,227478,4178,40233,31875,48403,526927,603882.SH,439547,206976,indicators,2019
null,9922,103254,null,507582,534795,1.78,348715,487,50871,47789,76507,1166318,603883.SH,992431,604957,indicators,2019
